date,meal,food_name,amount_g,calories_kcal,carbs_g,protein_g,fat_g,daily_total_kcal,notes
2026-05-29,breakfast,γαλα,250.0,122.5,12.0,8.8,4.2,2436.0,
2026-05-29,breakfast,Δημητριακα με βρωμη (απλη granola),60.0,274.8,39.0,4.3,10.2,,
2026-05-29,lunch,"Λαβράκι, μαγειρεμένο",187.0,231.9,0.0,44.2,4.8,,
2026-05-29,lunch,Βλητα Χορτα,40.0,8.0,1.6,0.8,0.0,,
2026-05-29,lunch,Λαδι,20.25,179.0,0.0,0.0,20.2,,
2026-05-29,lunch,Λευκό ψωμί,57.0,151.0,28.0,5.2,1.8,,
2026-05-29,dinner,Καλαμάκι χοιρινό,225.0,546.8,0.0,58.5,22.5,,
2026-05-29,dinner,πιτα για σουβλακι,246.0,602.7,116.1,21.9,4.2,,
2026-05-29,dinner,ντοματα,40.0,8.0,1.6,0.4,0.1,,
2026-05-29,dinner,"Κρεμμύδι, ωμό",30.0,12.0,2.8,0.3,0.0,,
2026-05-29,dinner,Τζατζικι,45.0,53.1,2.0,1.7,4.2,,
2026-05-29,snack,Παγωτό σοκολάτα,114.0,246.2,32.1,4.3,12.5,,
2026-05-30,breakfast,κουλουρι θεσσαλονικης,40.0,100.0,19.6,4.0,0.6,1693.8,
2026-05-30,lunch,Μακαρόνια με κιμά,380.0,342.0,57.9,19.2,3.8,,
2026-05-30,lunch,"Τυρί Παρμεζάνα, τριμμένο",40.0,172.4,1.6,15.4,11.4,,
2026-05-30,dinner,πιτα για σουβλακι,164.0,401.8,77.4,14.6,2.8,,
2026-05-30,dinner,Καλαμάκι χοιρινό,150.0,364.5,0.0,39.0,15.0,,
2026-05-30,dinner,καλαμακι κοτόπουλο,200.0,240.0,0.0,47.0,6.0,,
2026-05-30,dinner,ντοματα,40.0,8.0,1.6,0.4,0.1,,
2026-05-30,dinner,"Κρεμμύδι, ωμό",30.0,12.0,2.8,0.3,0.0,,
2026-05-30,dinner,Τζατζικι,45.0,53.1,2.0,1.7,4.2,,
2026-05-31,breakfast,Ψωμί ολικής αλέσεως,50.0,139.0,25.7,4.2,2.7,2424.9,
2026-05-31,breakfast,Τυρι Τοστ,20.0,54.6,0.0,5.6,3.6,,
2026-05-31,lunch,Βλητα Χορτα,40.0,8.0,1.6,0.8,0.0,,
2026-05-31,lunch,Λαδι,20.25,179.0,0.0,0.0,20.2,,
2026-05-31,lunch,Λαχανοντολμάδες Αυγολέμονο,200.0,324.0,16.8,16.2,21.8,,
2026-05-31,lunch,Λευκό ψωμί,57.0,151.0,28.0,5.2,1.8,,
2026-05-31,lunch,Μακαρόνια με σάλτσα ντομάτα,80.0,56.0,11.4,1.8,0.4,,
